Delay,Size,Concurrency,Average Latency (s),Requests/sec
100,0,1,0.1004,9.9574
100,0,17,0.1008,168.5600
100,0,33,0.1007,327.4430
100,0,49,0.1009,485.6523
100,0,65,0.1010,643.6331
100,0,81,0.1007,803.6414
100,0,97,0.1007,963.1145
100,0,113,0.1008,1120.8643
100,10,1,0.1005,9.9523
100,10,17,0.1008,168.6470
100,10,33,0.1009,327.0412
100,10,49,0.1008,485.8116
100,10,65,0.1009,644.1654
100,10,81,0.1008,803.2319
100,10,97,0.1008,961.3104
100,10,113,0.1008,1120.7346
100,20,1,0.1005,9.9511
100,20,17,0.1008,168.5995
100,20,33,0.1009,326.9472
100,20,49,0.1008,485.9060
100,20,65,0.1007,644.8259
100,20,81,0.1007,803.5290
100,20,97,0.1008,961.1831
100,20,113,0.1008,1120.0652
100,30,1,0.1005,9.9523
100,30,17,0.1009,168.4926
100,30,33,0.1008,327.0633
100,30,49,0.1009,485.6077
100,30,65,0.1009,643.9899
100,30,81,0.1007,803.4776
100,30,97,0.1008,961.2201
100,30,113,0.1008,1119.6397
100,40,1,0.1005,9.9492
100,40,17,0.1009,168.4215
100,40,33,0.1008,327.2620
100,40,49,0.1008,485.9408
100,40,65,0.1009,644.0330
100,40,81,0.1009,802.4258
100,40,97,0.1009,960.4323
100,40,113,0.1009,1118.9288
100,50,1,0.1005,9.9456
100,50,17,0.1009,168.3533
100,50,33,0.1008,327.0234
100,50,49,0.1009,485.1962
100,50,65,0.1010,639.7867
100,50,81,0.1009,802.2863
100,50,97,0.1010,954.3109
100,50,113,0.1009,1117.6340
100,60,1,0.1005,9.9496
100,60,17,0.1010,167.2107
100,60,33,0.1008,327.1024
100,60,49,0.1009,485.6305
100,60,65,0.1009,643.6097
100,60,81,0.1009,799.8339
100,60,97,0.1010,953.4243
100,60,113,0.1010,1115.1868
100,70,1,0.1005,9.9464
100,70,17,0.1010,168.3245
100,70,33,0.1009,326.9141
100,70,49,0.1010,481.9573
100,70,65,0.1010,639.5957
100,70,81,0.1010,795.1235
100,70,97,0.1009,957.7956
100,70,113,0.1009,1116.5668
100,80,1,0.1005,9.9447
100,80,17,0.1008,168.5549
100,80,33,0.1009,327.0769
100,80,49,0.1010,485.1225
100,80,65,0.1010,639.7816
100,80,81,0.1010,799.3209
100,80,97,0.1010,953.4680
100,80,113,0.1010,1112.3037
100,90,1,0.1005,9.9437
100,90,17,0.1009,168.4477
100,90,33,0.1010,324.2922
100,90,49,0.1011,481.3159
100,90,65,0.1010,639.5873
100,90,81,0.1010,797.0374
100,90,97,0.1010,954.9979
100,90,113,0.1010,1110.6135
100,100,1,0.1006,9.9369
100,100,17,0.1008,168.4619
100,100,33,0.1011,324.2117
100,100,49,0.1010,481.2314
100,100,65,0.1010,641.7714
100,100,81,0.1011,794.9896
100,100,97,0.1010,953.8886
100,100,113,0.1010,1111.1304
