Delay,Size,Concurrency,Average Latency (s),Requests/sec
100,0,200,0.1013,1971.6600
100,0,400,0.1023,3864.2073
100,0,600,0.1033,5620.9240
100,0,800,0.1026,7516.5475
100,0,1000,0.1073,9162.8142
100,100,200,0.1020,1953.0974
100,100,400,0.1034,3796.9091
100,100,600,0.1047,5598.2130
100,100,800,0.1063,7225.4273
100,100,1000,0.1124,8054.7544
100,200,200,0.1024,1940.4490
100,200,400,0.1044,3718.9765
100,200,600,0.1085,5156.3273
100,200,800,0.1190,6098.7703
100,200,1000,0.1212,7461.6677
100,300,200,0.1038,1897.2198
100,300,400,0.1057,3626.1903
100,300,600,0.1069,5356.4681
100,300,800,0.1150,6398.4113
100,300,1000,0.1299,6974.4158
100,400,200,0.1037,1898.5456
100,400,400,0.1102,3372.4177
100,400,600,0.1132,4931.1929
100,400,800,0.1224,5880.2583
100,400,1000,0.1278,7200.8801
100,500,200,0.1037,1904.7619
100,500,400,0.1127,3316.5997
100,500,600,0.1185,4598.8521
100,500,800,0.1251,5691.3199
100,500,1000,0.1298,6701.7546
200,0,200,0.2014,992.5595
200,0,400,0.2019,1976.7056
200,0,600,0.2032,2920.4018
200,0,800,0.2038,3878.2556
200,0,1000,0.2075,4754.8225
200,100,200,0.2020,986.9801
200,100,400,0.2033,1953.0793
200,100,600,0.2045,2886.5231
200,100,800,0.2065,3780.6657
200,100,1000,0.2090,4656.5091
200,200,200,0.2025,983.7282
200,200,400,0.2046,1931.9690
200,200,600,0.2069,2824.0029
200,200,800,0.2127,3595.2506
200,200,1000,0.2151,4496.5891
200,300,200,0.2033,979.3186
200,300,400,0.2059,1909.3543
200,300,600,0.2083,2774.6657
200,300,800,0.2149,3558.1420
200,300,1000,0.2238,4208.8835
200,400,200,0.2035,976.5582
200,400,400,0.2077,1879.1928
200,400,600,0.2112,2736.7818
200,400,800,0.2140,3570.0804
200,400,1000,0.2193,4348.2506
200,500,200,0.2044,972.1572
200,500,400,0.2086,1869.3816
200,500,600,0.2141,2686.7509
200,500,800,0.2177,3508.8292
200,500,1000,0.2230,4231.7487
300,0,200,0.3013,663.4053
300,0,400,0.3019,1322.1477
300,0,600,0.3030,1967.7378
300,0,800,0.3029,2626.0934
300,0,1000,0.3050,3255.0639
300,100,200,0.3020,661.3436
300,100,400,0.3032,1312.6210
300,100,600,0.3048,1943.0743
300,100,800,0.3066,2579.9070
300,100,1000,0.3085,3164.9227
300,200,200,0.3024,659.8047
300,200,400,0.3044,1304.8819
300,200,600,0.3062,1930.3010
300,200,800,0.3092,2529.5964
300,200,1000,0.3151,3081.5823
