Delay,Size,Concurrency,Average Latency (s),Requests/sec
100,0,200,0.1395,1420.7673
100,0,400,0.1415,2798.1101
100,0,600,0.1403,4238.4552
100,0,800,0.1401,5680.9110
100,0,1000,0.1400,7103.7296
100,100,200,0.3654,520.3554
100,100,400,0.7202,523.7531
100,100,600,1.0735,520.1129
100,100,800,1.4298,508.7086
100,100,1000,1.7601,475.6056
100,200,200,0.7278,260.2880
100,200,400,1.4195,264.0044
100,200,600,2.1248,259.1691
100,200,800,2.7834,265.6924
100,200,1000,3.4182,266.7158
100,300,200,1.0687,174.2896
100,300,400,2.1083,173.7329
100,300,600,3.0910,176.6318
100,300,800,4.1514,173.5724
100,300,1000,4.9746,177.5143
100,400,200,1.4148,130.4548
100,400,400,2.7529,128.7374
100,400,600,4.0539,132.2681
100,400,800,5.2769,133.7212
100,400,1000,6.4833,126.2901
100,500,200,1.7772,100.7924
100,500,400,3.4250,105.7271
100,500,600,5.0697,102.6075
100,500,800,6.5216,105.3328
100,500,1000,8.1189,105.9907
200,0,200,0.2396,833.0577
200,0,400,0.2401,1659.7645
200,0,600,0.2405,2485.7792
200,0,800,0.2416,3214.6367
200,0,1000,0.2412,4114.4976
200,100,200,0.3632,523.0343
200,100,400,0.7201,487.7367
200,100,600,1.1014,308.4233
200,100,800,1.4861,294.4156
200,100,1000,1.8719,296.7739
200,200,200,0.7183,259.2167
200,200,400,1.4248,259.3265
200,200,600,2.1090,174.6224
200,200,800,2.8276,158.2498
200,200,1000,3.6201,164.4683
200,300,200,1.0817,170.8891
200,300,400,2.1395,169.2995
200,300,600,3.1580,106.2808
200,300,800,4.1382,115.4390
200,300,1000,5.1461,115.3503
200,400,200,1.4459,123.6006
200,400,400,2.7953,129.5629
200,400,600,4.0791,88.4827
200,400,800,5.3392,92.8314
200,400,1000,6.5074,91.0060
200,500,200,1.7813,104.5005
200,500,400,3.4733,102.9209
200,500,600,5.0666,73.8323
200,500,800,6.6408,77.2310
200,500,1000,7.9909,81.4065
300,0,200,0.3402,586.5990
300,0,400,0.3403,1171.3373
300,0,600,0.3423,1745.5743
300,0,800,0.3452,2303.9196
300,0,1000,0.3424,2894.9205
300,100,200,0.4321,453.9307
300,100,400,0.7239,517.6724
300,100,600,1.0953,509.8836
300,100,800,1.4280,523.0359
300,100,1000,1.7973,342.5516
300,200,200,0.7194,259.7534
300,200,400,1.4895,244.8566
300,200,600,2.1370,257.8656
300,200,800,2.8220,261.0033
300,200,1000,3.4692,235.8469
300,300,200,1.0908,171.7458
300,300,400,2.1236,173.7349
300,300,600,3.1406,172.7812
300,300,800,4.1442,156.6749
300,300,1000,5.0378,116.4780
300,400,200,1.4235,129.9649
300,400,400,2.7882,130.7170
300,400,600,4.1458,128.2920
300,400,800,5.3877,131.2114
300,400,1000,6.6549,124.3556
300,500,200,1.7911,103.4334
300,500,400,3.4619,101.1998
300,500,600,5.1166,101.1895
300,500,800,6.5148,76.9633
300,500,1000,8.1341,82.3116
400,0,200,0.4406,452.9918
400,0,400,0.4411,904.5139
400,0,600,0.4414,1352.9553
400,0,800,0.4426,1762.3840
400,0,1000,0.4446,2236.1490
400,100,200,0.5348,364.2591
400,100,400,0.7325,515.2557
400,100,600,1.0854,503.2033
400,100,800,1.4554,510.0405
400,100,1000,1.7865,517.5209
400,200,200,0.7394,255.1752
400,200,400,1.4336,255.9220
400,200,600,2.1419,258.9024
400,200,800,2.8025,248.7314
400,200,1000,3.4723,228.1617
400,300,200,1.0918,168.2180
400,300,400,2.2655,160.7182
400,300,600,3.2022,162.3148
400,300,800,4.1831,171.1563
400,300,1000,5.2472,149.7621
400,400,200,1.4655,127.0927
400,400,400,2.8453,128.3077
400,400,600,4.1852,123.7071
400,400,800,5.6256,124.1085
400,400,1000,6.6784,126.4448
400,500,200,1.8456,98.4952
400,500,400,3.5165,101.8472
400,500,600,5.1945,103.1406
400,500,800,6.6314,104.0143
400,500,1000,8.2139,103.4476
500,0,200,0.5413,368.5592
500,0,400,0.5416,736.5798
500,0,600,0.5424,1100.0796
500,0,800,0.5444,1461.6501
500,0,1000,0.5450,1785.0465
500,100,200,0.6637,295.0421
500,100,400,0.7320,508.5286
500,100,600,1.1002,510.8111
500,100,800,1.4550,513.5301
500,100,1000,1.8164,509.8201
500,200,200,0.7482,251.2953
