Delay,Size,Concurrency,Average Latency (s),Requests/sec
500,200,400,1.4493,253.8532
500,200,600,2.1608,254.7709
500,200,800,2.8493,255.8492
500,200,1000,3.5020,252.5413
500,300,200,1.1165,164.0158
500,300,400,2.1627,168.3178
500,300,600,3.2174,170.2323
500,300,800,4.2008,169.0945
500,300,1000,5.1667,171.2105
500,400,200,1.4537,126.1189
500,400,400,2.8667,124.8117
500,400,600,4.2207,126.5699
500,400,800,5.5093,128.2969
500,400,1000,6.6914,129.1486
500,500,200,1.8183,100.8208
500,500,400,3.5030,97.2700
500,500,600,5.1608,101.2324
500,500,800,6.6369,102.8499
500,500,1000,8.0928,102.4977
600,0,200,0.6416,311.2016
600,0,400,0.6425,620.9146
600,0,600,0.6432,929.1252
600,0,800,0.6445,1204.5888
600,0,1000,0.6455,1506.8281
600,100,200,0.7648,251.3932
600,100,400,0.8061,475.8230
600,100,600,1.0948,507.4943
600,100,800,1.4618,496.5790
600,100,1000,1.8175,483.8235
600,200,200,0.8557,225.8115
600,200,400,1.4590,251.2766
600,200,600,2.1579,254.8153
600,200,800,2.8556,248.7242
600,200,1000,3.5182,255.7072
600,300,200,1.0911,169.3050
600,300,400,2.1822,164.2470
600,300,600,3.1785,168.8225
600,300,800,4.2002,155.9660
600,300,1000,5.1358,169.4932
600,400,200,1.4650,125.1792
600,400,400,2.8480,126.4934
600,400,600,4.2125,126.1126
600,400,800,5.4590,129.1049
600,400,1000,6.7328,126.4625
600,500,200,1.8152,100.4745
600,500,400,3.5289,100.8456
600,500,600,5.1572,101.2928
600,500,800,6.7076,103.0541
600,500,1000,8.2486,103.9587
700,0,200,0.7421,269.1009
700,0,400,0.7424,537.2380
700,0,600,0.7436,803.1873
700,0,800,0.7451,1067.7308
700,0,1000,0.7476,1327.4756
700,100,200,0.8749,218.0768
700,100,400,0.9131,420.9293
700,100,600,1.1025,502.2227
700,100,800,1.4721,493.8268
700,100,1000,1.8381,497.6378
700,200,200,0.9682,198.4493
700,200,400,1.4733,251.5699
700,200,600,2.1756,250.7165
700,200,800,2.8947,252.3867
700,200,1000,3.5582,254.8370
700,300,200,1.1151,164.5569
700,300,400,2.1738,168.3049
700,300,600,3.2487,166.3987
700,300,800,4.2306,168.5121
700,300,1000,5.2422,167.0357
700,400,200,1.4685,123.9499
700,400,400,2.8949,125.2193
700,400,600,4.2388,125.9136
700,400,800,5.5567,126.0628
700,400,1000,6.8211,125.8788
700,500,200,1.8549,98.5646
700,500,400,3.5909,94.2714
700,500,600,5.1731,99.2835
700,500,800,6.7946,73.5764
700,500,1000,8.2175,80.2734
800,0,200,0.8427,236.9882
800,0,400,0.8431,473.0461
800,0,600,0.8482,677.7906
800,0,800,0.8499,915.5012
800,0,1000,0.8493,1139.9876
800,100,200,0.9808,195.5195
800,100,400,1.0122,377.5118
800,100,600,1.1255,487.2598
800,100,800,1.5351,465.9467
800,100,1000,2.1157,409.5314
800,200,200,1.5627,110.1695
800,200,400,1.9443,188.9903
800,200,600,2.4906,219.6601
800,200,800,2.9391,238.0528
800,200,1000,3.5985,248.2919
800,300,200,1.1665,163.5767
800,300,400,2.2064,163.5716
800,300,600,3.2331,167.2377
800,300,800,4.2414,167.7625
800,300,1000,5.2563,114.2839
800,400,200,1.5351,117.6620
800,400,400,2.9051,121.4191
800,400,600,4.2384,124.4022
800,400,800,5.5848,125.9214
800,400,1000,6.7954,125.7648
800,500,200,1.9646,92.5217
800,500,400,3.5865,99.5489
800,500,600,5.2739,97.9689
800,500,800,6.8640,99.2426
800,500,1000,8.3174,77.0994
900,0,200,0.9431,211.6947
900,0,400,0.9439,422.6181
900,0,600,0.9458,631.0875
900,0,800,0.9471,839.9787
900,0,1000,0.9545,1023.0499
900,100,200,1.0807,177.5420
900,100,400,1.1230,338.4653
900,100,600,1.1638,491.6493
900,100,800,1.5011,492.9986
900,100,1000,1.8674,491.1159
900,200,200,1.1682,163.4312
900,200,400,1.4912,245.8824
900,200,600,2.2145,247.2335
900,200,800,2.9286,248.0162
900,200,1000,3.6092,248.6110
900,300,200,1.2624,150.8623
900,300,400,2.2264,163.3187
900,300,600,3.2674,160.4079
900,300,800,4.3079,164.2748
900,300,1000,5.2949,165.5430
900,400,200,1.4952,118.6897
900,400,400,2.9017,122.6368
900,400,600,4.2682,124.3063
900,400,800,5.6525,124.8082
900,400,1000,6.9221,89.8574
900,500,200,1.8781,95.9029
900,500,400,3.6234,70.6142
900,500,600,5.3439,67.9220
900,500,800,6.9744,75.9730
900,500,1000,8.2475,82.8409
1000,0,200,1.0435,191.3652
1000,0,400,1.0447,382.0320
1000,0,600,1.0462,558.2004
1000,0,800,1.0489,758.3270
1000,0,1000,1.0506,945.4226
1000,100,200,1.1835,162.4299
1000,100,400,1.2490,303.7285
1000,100,600,1.2715,446.8498
1000,100,800,1.5048,482.6297
1000,100,1000,1.8587,481.7126
1000,200,200,1.2733,148.5966
1000,200,400,1.5034,242.6410
1000,200,600,2.2197,241.1336
1000,200,800,2.9477,153.4352
1000,200,1000,3.6657,158.5184
1000,300,200,1.3766,137.7325
1000,300,400,2.2405,163.6951
1000,300,600,3.2823,161.2694
1000,300,800,4.3236,110.4455
1000,300,1000,5.3408,115.3343
1000,400,200,1.5323,115.4392
1000,400,400,2.9366,123.4940
1000,400,600,4.3010,123.4564
1000,400,800,5.6424,122.9945
1000,400,1000,6.9150,93.8900
1000,500,200,1.8807,94.6894
1000,500,400,3.6389,97.4443
1000,500,600,5.3741,97.8348
1000,500,800,6.8982,76.8547
1000,500,1000,8.3943,76.9220
